year,region,public_university,public_polytechnic,private_university,private_polytechnic
2012 / 2013,Oeste,,2465.0,,148.0
2012 / 2013,Região de Aveiro,11035.0,2408.0,,330.0
2012 / 2013,Região de Coimbra,24087.0,11796.0,1277.0,
2012 / 2013,Região de Leiria,,6694.0,218.0,124.0
2012 / 2013,Viseu Dão Lafões,,4669.0,753.0,239.0
2012 / 2013,Beira Baixa,,3944.0,,
2012 / 2013,Médio Tejo,,2216.0,,118.0
2012 / 2013,Beiras e Serra da Estrela,6803.0,2307.0,,
2012 / 2013,Área Metropolitana de Lisboa,82480.0,23556.0,25358.0,8367.0
2012 / 2013,Área Metropolitana de Lisboa,82480.0,23556.0,25358.0,8367.0
2012 / 2013,Alentejo,6363.0,8164.0,225.0,
2012 / 2013,Alentejo Litoral,,,81.0,
2012 / 2013,Baixo Alentejo,,2480.0,,
2012 / 2013,Lezíria do Tejo,,3391.0,144.0,
2012 / 2013,Alto Alentejo,,1989.0,,
2012 / 2013,Alentejo Central,6363.0,304.0,,
2012 / 2013,Algarve,3766.0,4120.0,845.0,251.0
2012 / 2013,Algarve,3766.0,4120.0,845.0,251.0
2012 / 2013,Região Autónoma dos Açores,2970.0,456.0,,
2012 / 2013,Região Autónoma dos Açores,2970.0,456.0,,
2012 / 2013,Região Autónoma dos Açores,2970.0,456.0,,
2012 / 2013,Região Autónoma da Madeira,2674.0,155.0,,269.0
2012 / 2013,Região Autónoma da Madeira,2674.0,155.0,,269.0
2012 / 2013,Região Autónoma da Madeira,2674.0,155.0,,269.0
2011 / 2012,Portugal,197912.0,113662.0,55147.0,23552.0
2011 / 2012,Continente,191854.0,112975.0,55147.0,23244.0
2011 / 2012,Norte,55740.0,34715.0,22208.0,11063.0
2011 / 2012,Alto Minho,,4071.0,291.0,55.0
2011 / 2012,Cávado,17678.0,3730.0,1203.0,
2011 / 2012,Ave,,,879.0,2079.0
2011 / 2012,Área Metropolitana do Porto,30772.0,18135.0,19746.0,8041.0
2011 / 2012,Alto Tâmega,230.0,,,292.0
2011 / 2012,Tâmega e Sousa,,1352.0,,424.0
2011 / 2012,Douro,7060.0,1108.0,,
2011 / 2012,Terras de Trás-os-Montes,,6319.0,89.0,172.0
2011 / 2012,Centro,40905.0,39631.0,2621.0,1147.0
2011 / 2012,Oeste,,2577.0,,188.0
2011 / 2012,Região de Aveiro,10805.0,2406.0,,322.0
2011 / 2012,Região de Coimbra,23408.0,12724.0,1482.0,
2011 / 2012,Região de Leiria,,7181.0,299.0,163.0
2011 / 2012,Viseu Dão Lafões,,5219.0,840.0,272.0
2011 / 2012,Beira Baixa,,4364.0,,
2011 / 2012,Médio Tejo,,2516.0,,202.0
2011 / 2012,Beiras e Serra da Estrela,6692.0,2644.0,,
2011 / 2012,Área Metropolitana de Lisboa,84059.0,24832.0,28857.0,10666.0
2011 / 2012,Área Metropolitana de Lisboa,84059.0,24832.0,28857.0,10666.0
2011 / 2012,Alentejo,7157.0,9362.0,280.0,
2011 / 2012,Alentejo Litoral,,,112.0,
2011 / 2012,Baixo Alentejo,,2882.0,,
2011 / 2012,Lezíria do Tejo,,3757.0,168.0,
2011 / 2012,Alto Alentejo,,2280.0,,
2011 / 2012,Alentejo Central,7157.0,443.0,,
2011 / 2012,Algarve,3993.0,4435.0,1181.0,368.0
2011 / 2012,Algarve,3993.0,4435.0,1181.0,368.0
2011 / 2012,Região Autónoma dos Açores,3138.0,505.0,,
2011 / 2012,Região Autónoma dos Açores,3138.0,505.0,,
2011 / 2012,Região Autónoma dos Açores,3138.0,505.0,,
2011 / 2012,Região Autónoma da Madeira,2920.0,182.0,,308.0
2011 / 2012,Região Autónoma da Madeira,2920.0,182.0,,308.0
2011 / 2012,Região Autónoma da Madeira,2920.0,182.0,,308.0
2010 / 2011,Portugal,193106.0,114872.0,60452.0,27838.0
2010 / 2011,Continente,186814.0,114167.0,60452.0,27410.0
2010 / 2011,Norte,52912.0,33615.0,23755.0,13472.0
2010 / 2011,Alto Minho,,3826.0,341.0,84.0
2010 / 2011,Cávado,17104.0,3431.0,1331.0,
2010 / 2011,Ave,,,1129.0,2687.0
2010 / 2011,Área Metropolitana do Porto,28699.0,17282.0,20802.0,9636.0
2010 / 2011,Alto Tâmega,310.0,,,268.0
2010 / 2011,Tâmega e Sousa,,1241.0,,430.0
2010 / 2011,Douro,6799.0,1141.0,,
2010 / 2011,Terras de Trás-os-Montes,,6694.0,152.0,367.0
2010 / 2011,Centro,40186.0,40977.0,3033.0,1553.0
2010 / 2011,Oeste,,2550.0,9.0,251.0
2010 / 2011,Região de Aveiro,10553.0,2514.0,,383.0
2010 / 2011,Região de Coimbra,23139.0,12668.0,1825.0,
2010 / 2011,Região de Leiria,,7445.0,355.0,191.0
2010 / 2011,Viseu Dão Lafões,,5689.0,844.0,496.0
2010 / 2011,Beira Baixa,,4228.0,,
2010 / 2011,Médio Tejo,,2963.0,,232.0
2010 / 2011,Beiras e Serra da Estrela,6494.0,2920.0,,
2010 / 2011,Área Metropolitana de Lisboa,81431.0,24836.0,31881.0,11886.0
2010 / 2011,Área Metropolitana de Lisboa,81431.0,24836.0,31881.0,11886.0
2010 / 2011,Alentejo,7947.0,10139.0,324.0,
2010 / 2011,Alentejo Litoral,,,145.0,
2010 / 2011,Baixo Alentejo,,2998.0,,
2010 / 2011,Lezíria do Tejo,,3982.0,179.0,
2010 / 2011,Alto Alentejo,,2610.0,,
2010 / 2011,Alentejo Central,7947.0,549.0,,
2010 / 2011,Algarve,4338.0,4600.0,1459.0,499.0
2010 / 2011,Algarve,4338.0,4600.0,1459.0,499.0
2010 / 2011,Região Autónoma dos Açores,3362.0,512.0,,
2010 / 2011,Região Autónoma dos Açores,3362.0,512.0,,
2010 / 2011,Região Autónoma dos Açores,3362.0,512.0,,
2010 / 2011,Região Autónoma da Madeira,2930.0,193.0,,428.0
2010 / 2011,Região Autónoma da Madeira,2930.0,193.0,,428.0
2010 / 2011,Região Autónoma da Madeira,2930.0,193.0,,428.0
2009 / 2010,Portugal,183806.0,110022.0,60174.0,29625.0
2009 / 2010,Continente,177711.0,109325.0,60174.0,29162.0
2009 / 2010,Norte,51723.0,31574.0,22797.0,14741.0
2009 / 2010,Alto Minho,,3633.0,308.0,131.0
2009 / 2010,Cávado,15690.0,3010.0,1191.0,
2009 / 2010,Ave,,,1263.0,3001.0
2009 / 2010,Área Metropolitana do Porto,28628.0,16162.0,19870.0,10376.0
2009 / 2010,Alto Tâmega,339.0,,,398.0
2009 / 2010,Tâmega e Sousa,,1040.0,,308.0
2009 / 2010,Douro,7064.0,1120.0,,
2009 / 2010,Terras de Trás-os-Montes,2.0,6609.0,165.0,527.0
2009 / 2010,Centro,36609.0,39751.0,3163.0,1796.0
2009 / 2010,Oeste,,2380.0,29.0,319.0
2009 / 2010,Região de Aveiro,9781.0,2517.0,,399.0
2009 / 2010,Região de Coimbra,20868.0,12013.0,1954.0,
2009 / 2010,Região de Leiria,,7097.0,341.0,219.0
2009 / 2010,Viseu Dão Lafões,,5322.0,839.0,635.0
2009 / 2010,Beira Baixa,,4374.0,,
2009 / 2010,Médio Tejo,,3132.0,,224.0
