year,region,kindergarten_public,kindergarten_private,1-4_gr_public,1_4_gr_private,5_6_gr_public,5_6_gr_private,7_9_gr_public,7_9_gr_private,10_12_gr_public,10_12_gr_private,professional_certification_public,professional_certification_private
2020 / 2021,Setúbal,966.0,2117.0,4394.0,592.0,2912.0,91.0,4651.0,24.0,4858.0,777.0,77.0,
2020 / 2021,Sintra,4756.0,4085.0,12831.0,2086.0,7580.0,668.0,11880.0,1031.0,11388.0,1472.0,32.0,
2020 / 2021,Vila Franca de Xira,1415.0,2392.0,4891.0,580.0,2719.0,164.0,4550.0,188.0,5411.0,346.0,40.0,
2020 / 2021,Alentejo,10762.0,6349.0,24101.0,689.0,13371.0,395.0,21486.0,895.0,20196.0,4335.0,254.0,
2020 / 2021,Alentejo Litoral,1609.0,700.0,3299.0,,1665.0,132.0,2592.0,266.0,2180.0,808.0,12.0,
2020 / 2021,Alcácer do Sal,178.0,52.0,344.0,,211.0,,336.0,,235.0,,,
2020 / 2021,Grândola,282.0,67.0,511.0,,263.0,,454.0,,476.0,,,
2020 / 2021,Odemira,410.0,193.0,886.0,,326.0,132.0,487.0,262.0,371.0,489.0,,
2020 / 2021,Santiago do Cacém,494.0,184.0,961.0,,530.0,,829.0,,779.0,,12.0,
2020 / 2021,Sines,245.0,204.0,597.0,,335.0,,486.0,4.0,319.0,319.0,,
2020 / 2021,Baixo Alentejo,1964.0,990.0,4187.0,69.0,2347.0,52.0,3448.0,222.0,3406.0,764.0,24.0,
2020 / 2021,Aljustrel,129.0,80.0,295.0,,185.0,,284.0,,215.0,,,
2020 / 2021,Almodôvar,104.0,35.0,185.0,,117.0,,197.0,,221.0,,,
2020 / 2021,Alvito,49.0,,79.0,,39.0,,62.0,19.0,,141.0,,
2020 / 2021,Barrancos,37.0,,42.0,,25.0,,47.0,,15.0,,,
2020 / 2021,Beja,436.0,550.0,1410.0,69.0,776.0,52.0,1127.0,146.0,1511.0,247.0,24.0,
2020 / 2021,Castro Verde,127.0,40.0,234.0,,133.0,,228.0,,208.0,,,
2020 / 2021,Cuba,122.0,,151.0,,86.0,,112.0,32.0,,160.0,,
2020 / 2021,Ferreira do Alentejo,124.0,70.0,249.0,,138.0,,186.0,,106.0,,,
2020 / 2021,Mértola,119.0,,164.0,,77.0,,149.0,,158.0,32.0,,
2020 / 2021,Moura,289.0,85.0,599.0,,328.0,,451.0,25.0,424.0,84.0,,
2020 / 2021,Ourique,50.0,38.0,132.0,,100.0,,111.0,,96.0,,,
2020 / 2021,Serpa,281.0,57.0,432.0,,241.0,,370.0,,442.0,,,
2020 / 2021,Vidigueira,97.0,35.0,215.0,,102.0,,124.0,,10.0,100.0,,
2020 / 2021,Lezíria do Tejo,3648.0,2093.0,8176.0,237.0,4765.0,19.0,7908.0,97.0,6769.0,1808.0,28.0,
